ID,Maydoni_m2,Xonalar_soni,Markazdan_masofa_km,Narxi_USD
1,132,5,12.4,146700
2,81,3,2.1,104900
3,122,3,0.6,142500
4,44,4,12.7,67600
5,136,2,4.3,146600
6,101,2,1.9,117800
7,90,5,8.2,117000
8,50,1,1.5,72700
9,132,5,17.8,143700
10,112,4,1,133400
11,116,4,11.8,130900
12,104,4,9.1,121500
13,104,4,13.6,121200
14,117,4,6.9,133200
15,146,3,3.5,156800
16,129,2,19.6,131800
17,133,4,16.9,141300
18,53,1,17.3,64500
19,32,1,5.4,55800
20,51,1,1.3,71700
21,82,1,6.4,101800
22,31,3,11,54300
23,117,1,6.9,126500
24,137,4,16.6,145700
25,59,5,5.8,92500
26,67,1,19.3,74400
27,31,3,9.4,58500
28,93,3,16.9,108500
29,89,1,4.3,105000
30,50,5,8.5,77600
31,62,1,14.1,76500
32,105,3,3.2,127900
33,87,2,3.1,105900
34,51,4,19.4,74600
35,137,3,14.4,145800
36,118,1,1.3,134500
37,78,4,8.3,101800
38,120,1,9,128100
39,88,1,15,101600
40,71,2,5.4,92600
41,121,4,4.1,140700
42,89,4,2.1,116000
43,109,2,8.9,124200
44,44,3,13.9,68200
45,91,1,1.6,106200
46,91,5,18.3,107600
47,76,1,9.1,90300
48,91,1,5.2,105200
49,80,3,2.3,102400
50,137,1,4.1,145100
51,84,2,18.7,95900
52,145,2,12.9,151500
53,93,4,10.6,112700
54,32,5,13.3,60900
55,130,1,9,140200
56,80,1,14.7,91500
57,36,3,1.4,69100
58,50,2,11.5,69500
59,102,5,3.6,127900
60,68,4,2.8,98800
61,47,2,7.2,65400
62,33,4,2.3,65400
63,118,3,2.3,137600
64,89,3,6.6,111600
65,43,1,19.6,57700
66,143,5,3.9,161800
67,38,4,0.8,75000
68,119,2,15.4,129500
69,82,3,16.2,95700
70,31,1,7.3,54700
71,113,1,9.6,123500
72,121,4,13.2,138400
73,140,3,1.4,157400
74,89,5,19,106500
75,100,3,17.8,112300
76,73,4,5.6,94900
77,37,4,0.8,72900
78,76,3,18.7,92200
79,64,4,10.3,90600
80,107,3,11,121600
81,110,2,13.8,120500
82,65,3,12.5,84300
83,79,3,18.9,91000
84,133,4,18.9,140500
85,33,4,17.4,54000
86,31,1,12.9,52900
87,35,1,16.1,48200
88,83,2,13.7,101400
89,135,1,11.7,136700
90,33,3,3,66700
91,83,4,16.3,99000
92,122,1,16.5,127400
93,92,1,12.7,101600
94,47,2,16.5,68400
95,119,2,13.2,128300
96,73,3,4.5,99000
97,63,4,5.8,90200
98,103,2,4.7,120400
99,91,1,7.9,106300
100,129,4,1.3,147800
101,43,4,12.6,66400
102,124,1,7.1,131000
103,77,2,13.3,92600
104,44,1,8,64100
105,101,4,13.8,113300
106,107,5,7.1,130200
107,116,5,5.6,135300
108,91,3,10.2,106400
109,69,1,14,82700
110,114,1,7.3,123200
111,109,3,18.8,119100
112,138,3,1.3,158000
113,111,3,8.6,125900
114,140,4,19.4,145200
115,82,1,11.2,95800
116,53,4,8.8,78200
117,55,3,11.6,77300
118,118,1,11.7,126400
119,89,4,14.8,106700
120,138,4,3,155600
121,70,3,5.4,94100
122,58,1,11.8,77900
123,44,3,17.4,64000
124,74,1,11.5,88800
125,94,5,5.2,121000
126,118,2,13.8,128000
127,100,2,14.9,110300
128,38,2,5.1,66000
129,117,3,7.9,130500
130,30,5,10.9,61000
131,137,1,10.2,141300
132,37,4,8.1,67700
133,117,1,6.3,130500
134,92,4,2.4,117200
135,40,1,1.5,65800
136,144,5,19.2,151600
137,110,4,17,121900
138,37,3,7.4,62100
139,64,1,19.2,71000
140,64,1,13.7,77900
141,62,4,9.9,86200
142,34,3,10.1,64700
143,135,3,2.1,154100
144,132,5,2.3,154400
145,70,3,12.2,93800
146,57,3,11.3,82000
147,36,3,4.6,61300
148,102,2,19,112400
149,101,5,15.7,120400
150,41,1,2.7,65200
151,63,4,18.7,79500
152,62,1,19.5,74700
153,77,5,19.9,91900
154,148,4,1.6,164800
155,52,5,14.9,76500
156,91,3,11.1,105700
157,117,4,14.3,133200
158,66,3,19.4,81900
159,128,1,13.9,133300
160,73,1,16.8,86300
161,133,4,17.4,142600
162,115,4,16.9,128500
163,120,5,8.8,140900
164,64,5,4.8,95200
165,94,3,8.2,113100
166,128,4,17.9,141600
167,130,1,3.4,143400
168,76,5,10.5,100600
169,107,5,5,128600
170,32,1,11.8,53900
171,30,5,17.3,58100
172,34,3,17.7,59200
173,119,4,5.1,140100
174,148,1,18.2,148900
175,43,4,12,69400
176,132,5,7.3,148600
177,56,5,14.3,81100
178,38,1,9.9,59800
179,108,3,7.9,121100
180,44,2,14.2,66400
181,119,1,5.4,134500
182,71,2,6.9,87300
183,106,2,9,116900
184,80,3,5.4,102700
185,92,2,8.4,107000
186,125,2,11.6,134800
187,132,3,14.9,140600
188,142,2,15.5,144400
189,81,2,16.5,96500
190,125,2,15,133200
191,33,1,13.8,51200
192,123,1,5.1,137000
193,130,1,8.3,137000
194,52,3,9.8,73300
195,132,5,2.1,153800
196,138,2,10.8,146500
197,44,2,9,68100
198,72,3,16.1,90400
199,58,2,19.6,73600
200,65,1,11.3,81900
